Symbol,LTP,Percentage Change,Volume
SRLI,406.4,0.2,20563.0
SSHL,175.4,5.5,413685.0
STC,5580.0,-38.0,2564.0
SWASTIK,3000.0,28.0,4507.0
SWBBL,747.0,-7.0,9050.0
SWMF,699.0,4.0,3405.0
SYPNL,1710.5,155.5,202436.0
TAMOR,455.7,6.6,14409.0
TPC,366.8,-1.7,67193.0
TRH,758.0,-15.0,4363.0
TSHL,798.0,-12.0,7276.0
TTL,942.3,65.8,153601.0
TVCL,425.7,38.7,104831.0
UAIL,466.0,-2.0,16453.0
UHEWA,572.5,1.9,21120.0
ULBSL,3373.0,22.5,1313.0
ULHC,462.5,-5.5,8432.0
UMHL,631.0,12.0,283306.0
UMRH,576.0,8.0,37676.0
UNHPL,461.6,-4.3,167897.0
UNL,47020.0,-70.0,38.0
UNLB,1919.0,16.6,929.0
UPCL,377.0,3.1,190983.0
UPPER,185.1,4.9,225861.0
USHEC,471.0,2.1,27819.0
USHL,825.0,2.6,9432.0
USLB,1560.0,11.0,9142.0
VLBS,777.0,7.0,1991.0
VLUCL,563.0,0,15084.0
WNLB,1597.0,-8.0,1904.0
