symbol,ltp,percentageChange,volume
SKBBL,781.0,7.4,11767.0
SLBBL,825.2,2.0,7262.0
SLBSL,1307.0,0,2277.0
SLCF,9.3,0.05,15860.0
SMATA,785.0,3.5,3553.0
SMB,1790.0,0,2713.0
SMFBS,1698.0,30.0,556.0
SMH,728.0,2.9,3326.0
SMHL,518.0,-21.0,46337.0
SMJC,486.2,-2.4,9741.0
SMPDA,879.0,-3.0,2291.0
SNLI,475.0,3.0,39066.0
SONA,428.0,-3.0,33393.0
SPC,532.9,-2.1,18212.0
SPDL,382.9,-1.0,69376.0
SPHL,594.5,4.5,24382.0
SPIL,711.0,-2.0,4475.0
SPL,867.1,22.1,4349.0
SRBLD83,1105.0,-20.0,155.0
SRLI,395.0,2.0,18813.0
SSHL,160.5,5.4,559013.0
STC,5539.0,41.0,1269.0
SWASTIK,2886.0,-8.0,5527.0
SWBBL,740.0,4.0,9578.0
SWMF,676.1,-3.9,1898.0
SYPNL,1258.0,67.9,161155.0
TAMOR,448.0,1.0,7936.0
TPC,384.0,14.3,77340.0
TRH,723.0,3.0,1721.0
TSHL,752.0,-14.1,6450.0
TTL,826.0,25.9,82825.0
TVCL,387.9,-1.0,9980.0
UAIL,451.9,-1.1,9809.0
UHEWA,539.0,0.7,20671.0
ULBSL,3450.0,-43.5,1009.0
ULHC,460.0,-4.0,13361.0
UMHL,564.1,-0.9,54028.0
UMRH,568.0,7.5,12167.0
UNHPL,467.0,6.0,100577.0
UNL,46800.1,-199.9,72.0
UNLB,1875.0,-13.0,1241.0
UPCL,358.1,-0.9,96667.0
UPPER,175.0,1.1,73734.0
USHEC,457.1,-2.9,9631.0
USHL,829.0,-5.0,13864.0
USLB,1480.0,-4.0,3101.0
VLBS,762.1,-2.9,1544.0
VLUCL,566.5,2.4,3150.0
WNLB,1603.5,-2.5,3458.0
